player_id,goals,assists,minutes_played
10,48,25,8808
26,0,0,13508
65,38,13,8788
77,0,0,307
80,0,0,1080
109,1,2,3584
123,0,1,427
132,9,4,3987
215,26,8,6038
258,0,2,1075
264,2,3,1227
276,0,0,232
277,5,4,4746
299,0,5,2510
325,0,0,180
332,0,0,76
410,3,6,6590
411,1,0,1061
447,0,0,766
488,0,0,3198
532,53,24,6789
557,0,0,630
568,8,0,8607
597,4,13,5014
598,0,0,4500
670,0,2,225
690,1,0,65
691,12,8,8123
735,0,1,669
755,1,0,2903
773,0,0,279
823,1,2,4022
831,0,0,268
837,3,3,2524
886,2,0,1601
892,0,0,1305
933,6,7,8615
992,0,0,90
1073,3,2,2225
1075,7,3,1584
1083,1,2,2302
1094,1,2,2942
1095,0,1,122
1116,0,0,1778
1126,6,6,10082
1139,2,1,7029
1144,0,0,103
1150,0,0,5910
1161,0,1,4608
1197,2,0,412
1277,2,14,10365
1321,3,8,4948
1327,2,1,2531
1331,34,9,6663
1335,0,2,2905
1363,0,0,3242
1368,2,3,6568
1381,0,0,90
1397,1,0,147
1423,2,19,12211
1426,2,4,1580
1428,9,5,2756
1443,2,5,6051
1474,0,0,990
1496,0,0,242
1532,1,2,1179
1560,0,0,549
1565,69,13,10845
1568,8,0,1577
1572,0,0,29
1573,0,0,361
1586,5,2,9676
1587,2,1,2693
1606,1,0,2989
1613,0,0,796
1659,0,0,742
1662,1,13,9641
1667,0,0,17762
1684,0,0,1196
1716,2,3,1063
1725,0,0,2884
1726,8,5,10583
1772,0,0,309
1784,0,3,12858
1791,29,18,10893
1792,2,9,6053
1841,0,0,127
1896,1,5,5751
1944,0,0,1891
1986,8,5,6865
2048,1,0,2746
2050,16,0,2881
2138,1,0,4951
2148,8,7,2901
2150,1,1,1804
2201,0,0,3180
2219,6,35,17697
2233,2,3,2705
2309,0,2,722
2334,1,2,2702
2358,0,3,2193
2386,0,0,540
2421,0,1,3360
2453,1,1,313
2514,24,27,10261
2583,0,0,362
2587,2,4,11528
2623,4,3,1913
2703,9,3,2473
2712,3,0,483
2726,0,0,630
2767,8,0,3764
2805,1,8,2774
2857,0,0,2837
2865,13,30,19268
2874,18,11,5273
2878,1,0,544
2899,1,1,1077
2904,0,0,849
2923,13,17,5686
2926,1,5,6777
2950,0,0,10
2953,0,1,1667
2956,0,0,150
2963,9,2,12086
2998,7,3,12857
2999,0,0,152
3059,1,5,3558
3098,4,1,2581
3109,38,26,10014
3114,6,8,3461
3115,2,0,947
3118,1,1,286
3130,0,0,1361
3131,0,0,76
3132,5,2,1876
3139,0,2,391
3146,0,0,1845
3156,1,0,1976
3159,0,0,763
3160,17,5,13397
3163,30,14,7173
3165,1,0,1167
3170,4,9,3952
3172,4,0,935
3176,10,3,2206
3179,11,5,3479
3182,1,7,7603
3190,0,0,360
3195,1,0,244
3201,8,1,8796
3202,1,3,6346
3205,0,0,798
3216,2,0,413
3220,0,5,4136
3226,2,0,911
3235,1,2,5719
3251,0,1,1833
3256,4,10,8938
3259,3,11,3284
3266,24,14,5202
3269,3,4,834
3270,1,0,3925
3273,1,0,554
3276,6,6,2647
3287,0,0,450
3291,8,17,17597
3292,3,6,6351
3296,1,1,2430
3297,2,1,1252
3306,34,14,11744
3310,0,0,135
3321,0,5,6316
3322,0,0,7470
3332,82,59,17645
3333,38,69,25820
3354,3,1,2109
3356,0,3,8925
3357,0,0,4962
3366,14,12,4319
3391,3,4,989
3395,0,0,2600
3397,1,1,997
3404,0,1,1956
3405,0,2,4779
3406,3,9,2730
3411,0,3,449
3413,4,13,3545
3417,1,1,12495
3428,0,0,114
3441,20,6,15824
3447,0,0,270
3455,196,78,21715
3458,18,15,5737
3461,2,0,825
3466,0,0,90
3467,1,1,1422
3473,0,0,615
3476,0,0,2460
3480,8,3,3221
3495,0,1,3392
3507,0,0,8182
3515,8,4,3097
3525,2,2,10147
3530,1,3,3448
3531,2,1,357
3534,0,0,2460
3535,0,0,15
3539,0,0,7830
3540,3,4,13965
3547,8,8,12444
3548,6,7,5934
